about,prefLabel,altLabel,broader,facetaAcronimo,faceta
federal,Federal,,,,Federal
estadual,Estadual,,,,Estadual
municipal,Municipal,,,,Municipal
senado.federal,"Senado Federal",SF,,SF – Senado Federal,Federal::Legislativo::Senado Federal
camara.deputados,"Câmara dos Deputados",CD,,CD – Câmara dos Deputados,Federal::Legislativo::Câmara dos Deputados
tribunal.contas.uniao,"Tribunal de Contas da União",TCU,,TCU – Tribunal de Contas da União,Federal::Legislativo::Tribunal de Contas da União
supremo.tribunal.federal,"Supremo Tribunal Federal",STF,,STF – Supremo Tribunal Federal,Federal::Judiciário::Supremo Tribunal Federal
superior.tribunal.justica,"Superior Tribunal de Justiça",STJ,,STJ – Superior Tribunal de Justiça,Federal::Judiciário::Superior Tribunal de Justiça
tribunal.superior.eleitoral,"Tribunal Superior Eleitoral",TSE,,TSE – Tribunal Superior Eleitoral,Federal::Judiciário::Tribunal Superior Eleitoral
tribunal.superior.trabalho,"Tribunal Superior do Trabalho",TST,,TST – Tribunal Superior do Trabalho,Federal::Judiciário::Tribunal Superior do Trabalho
superior.tribunal.militar,"Superior Tribunal Militar",STM,,STM – Superior Tribunal Militar,Federal::Judiciário::Superior Tribunal Militar
advocacia.geral.uniao,"Advocacia-Geral da União",AGU,,AGU – Advocacia-Geral da União,Federal::Advocacia-Geral da União
ministerio.justica,"Ministério da Justiça",MJ,,MJ – Ministério da Justiça,Federal::Executivo::Ministério da Justiça
procuradoria.geral.republica,"Procuradoria Geral da República",PGR,,PGR – Procuradoria Geral da República,Federal::Procuradoria Geral da República
congresso.nacional,"Congresso Nacional",CN,,CN – Congresso Nacional,Federal::Legislativo::Congresso Nacional
assembleia.legislativa,"Assembléia Legislativa",AL,,AL – Assembléia Legislativa,Estadual::Legislativo::Assembléia Legislativa
camara.municipal,"Câmara Municipal",CM,,CM – Câmara Municipal,Municipal::Legislativo::Câmara Municipal
camara.legislativa,"Câmara Legislativa","Câmara Distrital",,CL – Câmara Legislativa,Distrital::Legislativo::Câmara Legislativa
imprensa.nacional,"Imprensa Nacional",IN,,IN – Imprensa Nacional,Federal::Executivo::Imprensa Nacional
tribunal.contas.uniao;plenario,"Tribunal de Contas da União. Plenário",,#tribunal.contas.uniao,,Federal::Legislativo::Tribunal de Contas da União::Plenário
tribunal.contas.uniao;camara.1,"Tribunal de Contas da União. 1ª Câmara",,#tribunal.contas.uniao,,Federal::Legislativo::Tribunal de Contas da União::1ª Câmara
tribunal.contas.uniao;camara.2,"Tribunal de Contas da União. 2ª Câmara",,#tribunal.contas.uniao,,Federal::Legislativo::Tribunal de Contas da União::2ª Câmara
distrital,Distrital,,,,Distrital
procuradoria.geral.republica,"Procuradoria Geral da República",PGR,,PGR – Procuradoria Geral da República,Federal::Ministério Público da União::Procuradoria Geral da República
prefeitura,Prefeitura,,,,Municipal::Executivo::Prefeitura
tribunal.superior.eleitoral;plenario,"Tribunal Superior Eleitoral. Plenário",,#tribunal.superior.eleitoral,,Federal::Judiciário::Tribunal Superior Eleitoral::Plenário
ministerio.fazenda,"Ministério da Fazenda",MF,,MF – Ministério da Fazenda,Federal::Executivo::Ministério da Fazenda
ministerio.fazenda;secretaria.receita.federal,"Ministério da Fazenda. Secretaria da Receita Federal",SRF,#ministerio.fazenda,SRF – Secretaria da Receita Federal,Federal::Executivo::Ministério da Fazenda::Secretaria da Receita Federal
"ministerio.fazenda;secretaria.receita.federal,tribunal.superior.eleitoral","Ministério da Fazenda, Secretaria da Receita Federal; Tribunal Superior Eleitoral",,,,
tribunal.superior.eleitoral;corregedoria.geral.eleitoral,"Tribunal Superior Eleitoral. Corregedoria-Geral Eleitoral",CGE,#tribunal.superior.eleitoral,CGE – Corregedoria-Geral Eleitoral,Federal::Judiciário::Tribunal Superior Eleitoral::Corregedoria-Geral Eleitoral
banco.central,"Banco Central","BC, BACEN, BCB",,"BC, BACEN, BCB – Banco Central",Federal::Executivo::Banco Central
"tribunal.superior.eleitoral;plenario,tribunal.superior.eleitoral","Tribunal Superior Eleitoral, Plenário; Tribunal Superior Eleitoral",,,,
controladoria.geral.uniao,"Controladoria-Geral da União",CGU,,CGU – Controladoria-Geral da União,Federal::Executivo::Controladoria-Geral da União
imprensa.oficial,"Imprensa Oficial",,,,Estadual::Executivo::Imprensa Oficial
ministerio.marinha,"Ministério da Marinha",,,,Federal::Executivo::Ministério da Marinha
ministerio.exercito,"Minstério do Exercito",,,,Federal::Executivo::Minstério do Exercito
assembleia.nacional.constituinte,"Assembléia Nacional Constituinte",,,,Federal::Assembléia Nacional Constituinte
tribunal.superior.trabalho;tribunal.pleno,"Tribunal Superior do Trabalho. Tribunal Pleno",TP,#tribunal.superior.trabalho,TP – Tribunal Pleno,Federal::Judiciário::Tribunal Superior do Trabalho::Tribunal Pleno
tribunal.superior.trabalho;turma.1,"Tribunal Superior do Trabalho. 1ª Turma",1T,#tribunal.superior.trabalho,1T – 1ª Turma,Federal::Judiciário::Tribunal Superior do Trabalho::1ª Turma
tribunal.superior.trabalho;turma.2,"Tribunal Superior do Trabalho. 2ª Turma",2T,#tribunal.superior.trabalho,2T – 2ª Turma,Federal::Judiciário::Tribunal Superior do Trabalho::2ª Turma
tribunal.superior.trabalho;turma.3,"Tribunal Superior do Trabalho. 3ª Turma",3T,#tribunal.superior.trabalho,3T – 3ª Turma,Federal::Judiciário::Tribunal Superior do Trabalho::3ª Turma
tribunal.superior.trabalho;turma.4,"Tribunal Superior do Trabalho. 4ª Turma",4T,#tribunal.superior.trabalho,4T – 4ª Turma,Federal::Judiciário::Tribunal Superior do Trabalho::4ª Turma
tribunal.superior.trabalho;turma.5,"Tribunal Superior do Trabalho. 5ª Turma",5T,#tribunal.superior.trabalho,5T – 5ª Turma,Federal::Judiciário::Tribunal Superior do Trabalho::5ª Turma
tribunal.superior.trabalho;turma.6,"Tribunal Superior do Trabalho. 6ª Turma",6T,#tribunal.superior.trabalho,6T – 6ª Turma,Federal::Judiciário::Tribunal Superior do Trabalho::6ª Turma
tribunal.superior.trabalho;turma.7,"Tribunal Superior do Trabalho. 7ª Turma",7T,#tribunal.superior.trabalho,7T – 7ª Turma,Federal::Judiciário::Tribunal Superior do Trabalho::7ª Turma
tribunal.superior.trabalho;turma.8,"Tribunal Superior do Trabalho. 8ª Turma",8T,#tribunal.superior.trabalho,8T – 8ª Turma,Federal::Judiciário::Tribunal Superior do Trabalho::8ª Turma
tribunal.superior.trabalho;orgao.especial,"Tribunal Superior do Trabalho. Órgão Especial",OE,#tribunal.superior.trabalho,OE – Órgão Especial,Federal::Judiciário::Tribunal Superior do Trabalho::Órgão Especial
tribunal.superior.trabalho;secao.dissidios.coletivos,"Tribunal Superior do Trabalho. Seção de Dissídios Coletivos",SDC,#tribunal.superior.trabalho,SDC – Seção de Dissídios Coletivos,Federal::Judiciário::Tribunal Superior do Trabalho::Seção de Dissídios Coletivos
tribunal.superior.trabalho;subsecao.especializada.dissidios.individuais.1,"Tribunal Superior do Trabalho. Subseção Especializada em Dissídios Individuais 1",SBDI-1,#tribunal.superior.trabalho,SBDI-1 – Subseção Especializada em Dissídios Individuais 1,Federal::Judiciário::Tribunal Superior do Trabalho::Subseção Especializada em Dissídios Individuais 1
tribunal.superior.trabalho;subsecao.especializada.dissidios.individuais.2,"Tribunal Superior do Trabalho. Subseção Especializada em Dissídios Individuais 2",SBDI-2,#tribunal.superior.trabalho,SBDI-2 – Subseção Especializada em Dissídios Individuais 2,Federal::Judiciário::Tribunal Superior do Trabalho::Subseção Especializada em Dissídios Individuais 2
supremo.tribunal.federal;plenario,"Supremo Tribunal Federal. Plenário",,#supremo.tribunal.federal,,Federal::Judiciário::Supremo Tribunal Federal::Plenário
supremo.tribunal.federal;turma.1,"Supremo Tribunal Federal. 1ª Turma",,#supremo.tribunal.federal,,Federal::Judiciário::Supremo Tribunal Federal::1ª Turma
supremo.tribunal.federal;turma.2,"Supremo Tribunal Federal. 2ª Turma",,#supremo.tribunal.federal,,Federal::Judiciário::Supremo Tribunal Federal::2ª Turma
superior.tribunal.justica;corte.especial,"Superior Tribunal de Justiça. Corte Especial",,#superior.tribunal.justica,,Federal::Judiciário::Superior Tribunal de Justiça::Corte Especial
superior.tribunal.justica;turma.1,"Superior Tribunal de Justiça. 1ª Turma",,#superior.tribunal.justica,,Federal::Judiciário::Superior Tribunal de Justiça::1ª Turma
superior.tribunal.justica;turma.2,"Superior Tribunal de Justiça. 2ª Turma",,#superior.tribunal.justica,,Federal::Judiciário::Superior Tribunal de Justiça::2ª Turma
superior.tribunal.justica;turma.3,"Superior Tribunal de Justiça. 3ª Turma",,#superior.tribunal.justica,,Federal::Judiciário::Superior Tribunal de Justiça::3ª Turma
superior.tribunal.justica;turma.4,"Superior Tribunal de Justiça. 4ª Turma",,#superior.tribunal.justica,,Federal::Judiciário::Superior Tribunal de Justiça::4ª Turma
superior.tribunal.justica;turma.5,"Superior Tribunal de Justiça. 5ª Turma",,#superior.tribunal.justica,,Federal::Judiciário::Superior Tribunal de Justiça::5ª Turma
superior.tribunal.justica;turma.6,"Superior Tribunal de Justiça. 6ª Turma",,#superior.tribunal.justica,,Federal::Judiciário::Superior Tribunal de Justiça::6ª Turma
superior.tribunal.justica;secao.1,"Superior Tribunal de Justiça. 1ª Seção",,#superior.tribunal.justica,,Federal::Judiciário::Superior Tribunal de Justiça::1ª Seção
superior.tribunal.justica;secao.2,"Superior Tribunal de Justiça. 2ª Seção",,#superior.tribunal.justica,,Federal::Judiciário::Superior Tribunal de Justiça::2ª Seção
superior.tribunal.justica;secao.3,"Superior Tribunal de Justiça. 3ª Seção",,#superior.tribunal.justica,,Federal::Judiciário::Superior Tribunal de Justiça::3ª Seção
conselho.nacional.justica,"Conselho Nacional de Justiça",CNJ,,CNJ – Conselho Nacional de Justiça,Federal::Judiciário::Conselho Nacional de Justiça
superior.tribunal.justica;presidencia,"Superior Tribunal de Justiça. Presidência",,#superior.tribunal.justica,,Federal::Judiciário::Superior Tribunal de Justiça::Presidência
superior.tribunal.justica;secretaria.tribunal,"Superior Tribunal de Justiça. Secretaria do Tribunal",,#superior.tribunal.justica,,Federal::Judiciário::Superior Tribunal de Justiça::Secretaria do Tribunal
superior.tribunal.justica;gabinete.ministro.diretor.revista,"Superior Tribunal de Justiça. Gabinete do Ministro Diretor da Revista",,#superior.tribunal.justica,,Federal::Judiciário::Superior Tribunal de Justiça::Gabinete do Ministro Diretor da Revista
conselho.nacional.justica;plenario,"Conselho Nacional de Justiça. Plenário",,#conselho.nacional.justica,,Federal::Judiciário::Conselho Nacional de Justiça::Plenário
advocacia.geral.uniao;secretaria.geral,"Advocacia-Geral da União. Secretaria-Geral",SG,#advocacia.geral.uniao,SG – Secretaria-Geral,Federal::Advocacia-Geral da União::Secretaria-Geral
advocacia.geral.uniao;procuradoria.geral.uniao,"Advocacia-Geral da União. Procuradoria Geral da União",PGU,#advocacia.geral.uniao,PGU – Procuradoria Geral da União,Federal::Advocacia-Geral da União::Procuradoria Geral da União
advocacia.geral.uniao;escola.advocacia.geral.uniao,"Advocacia-Geral da União. Escola da Advocacia-Geral da União",EAGU,#advocacia.geral.uniao,EAGU – Escola da Advocacia-Geral da União,Federal::Advocacia-Geral da União::Escola da Advocacia-Geral da União
advocacia.geral.uniao;corregedoria.geral.agu,"Advocacia-Geral da União. Corregedoria-Geral da AGU",CGAU,#advocacia.geral.uniao,CGAU – Corregedoria-Geral da AGU,Federal::Advocacia-Geral da União::Corregedoria-Geral da AGU
advocacia.geral.uniao;procuradoria.geral.federal,"Advocacia-Geral da União. Procuradoria-Geral Federal",PGF,#advocacia.geral.uniao,PGF – Procuradoria-Geral Federal,Federal::Advocacia-Geral da União::Procuradoria-Geral Federal
advocacia.geral.uniao;procuradoria.geral.fazenda.nacional,"Advocacia-Geral da União. Procuradoria-Geral da Fazenda Nacional",PGFN,#advocacia.geral.uniao,PGFN – Procuradoria-Geral da Fazenda Nacional,Federal::Advocacia-Geral da União::Procuradoria-Geral da Fazenda Nacional
advocacia.geral.uniao;conselho.superior.agu,"Advocacia-Geral da União. Conselho Superior da AGU",CSAGU,#advocacia.geral.uniao,CSAGU – Conselho Superior da AGU,Federal::Advocacia-Geral da União::Conselho Superior da AGU
presidencia.republica,"Presidência da República",,,,Federal::Executivo::Presidência da República
ministerio.previdencia.social,"Ministério da Previdência Social",MPS,,MPS – Ministério da Previdência Social,Federal::Executivo::Ministério da Previdência Social
ministerio.previdencia.social;secretaria.receita.previdenciaria,"Ministério da Previdência Social. Secretaria de Receita Previdenciária",,#ministerio.previdencia.social,,Federal::Executivo::Ministério da Previdência Social::Secretaria de Receita Previdenciária
ministerio.educacao,"Ministério da Educação",,,,Federal::Executivo::Ministério da Educação
ministerio.planejamento.orcamento.gestao,"Ministério do Planejamento, Orçamento e Gestão",MPOG,,"MPOG – Ministério do Planejamento, Orçamento e Gestão","Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão"
ministerio.defesa,"Ministério da Defesa",MD,,MD – Ministério da Defesa,Federal::Executivo::Ministério da Defesa
supremo.tribunal.federal;turma.3,"Supremo Tribunal Federal. 3ª Turma",,#supremo.tribunal.federal,,Federal::Judiciário::Supremo Tribunal Federal::3ª Turma
conselho.superior.justica.trabalho,"Conselho Superior da Justiça do Trabalho",CSJT,,CSJT – Conselho Superior da Justiça do Trabalho,Federal::Judiciário::Conselho Superior da Justiça do Trabalho
controladoria.geral.uniao;corregedoria.geral.uniao,"Controladoria-Geral da União. Corregedoria-Geral da União",CRG,#controladoria.geral.uniao,CRG – Corregedoria-Geral da União,Federal::Executivo::Controladoria-Geral da União::Corregedoria-Geral da União
controladoria.geral.uniao;secretaria.federal.controle.interno,"Controladoria-Geral da União. Secretaria Federal de Controle Interno",SFC,#controladoria.geral.uniao,SFC – Secretaria Federal de Controle Interno,Federal::Executivo::Controladoria-Geral da União::Secretaria Federal de Controle Interno
controladoria.geral.uniao;secretaria.executiva,"Controladoria-Geral da União. Secretaria Executiva",SE,#controladoria.geral.uniao,SE – Secretaria Executiva,Federal::Executivo::Controladoria-Geral da União::Secretaria Executiva
"controladoria.geral.uniao,ministerio.planejamento.orcamento.gestao","Controladoria-Geral da União; Ministério do Planejamento, Orçamento e Gestão",,,,
imprensa.oficial,"Imprensa Oficial",,,,Imprensa Oficial
ministerio.planejamento.orcamento.gestao;secretaria.orcamento.federal,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Orçamento Federal",SOF,#ministerio.planejamento.orcamento.gestao,SOF – Secretaria de Orçamento Federal,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Orçamento Federal"
conselho.administrativo.defesa.economica,"Conselho Administrativo de Defesa Econômica",CADE,,CADE – Conselho Administrativo de Defesa Econômica,Federal::Executivo::Ministério da Justiça::Conselho Administrativo de Defesa Econômica
ministerio.justica;secretaria.defesa.economica,"Ministério da Justiça. Secretaria de Defesa Econômica",SDE,#ministerio.justica,SDE – Secretaria de Defesa Econômica,Federal::Executivo::Ministério da Justiça::Secretaria de Defesa Econômica
ministerio.fazenda;secretaria.acompanhamento.economico,"Ministério da Fazenda. Secretaria de Acompanhamento Econômico",SeAE,#ministerio.fazenda,SeAE – Secretaria de Acompanhamento Econômico,Federal::Executivo::Ministério da Fazenda::Secretaria de Acompanhamento Econômico
conselho.administrativo.defesa.economica;procuradoria,"Conselho Administrativo de Defesa Econômica. Procuradoria",PROCADE,#conselho.administrativo.defesa.economica,PROCADE – Procuradoria,Federal::Executivo::Ministério da Justiça::Conselho Administrativo de Defesa Econômica::Procuradoria
ministerio.publico.federal,"Ministério Público Federal",MPF,,MPF – Ministério Público Federal,Federal::Ministério Público da União::Ministério Público Federal
agencia.nacional.telecomunicacoes,"Agência Nacional de Telecomunicações",ANATEL,,ANATEL – Agência Nacional de Telecomunicações,Federal::Executivo::Agência Nacional de Telecomunicações
advocacia.geral.uniao;diretoria.geral.administracao,"Advocacia-Geral da União. Diretoria-Geral de Administração",DGA/GAB,#advocacia.geral.uniao,DGA/GAB – Diretoria-Geral de Administração,Federal::Advocacia-Geral da União::Diretoria-Geral de Administração
advocacia.geral.uniao;consultoria.geral.uniao,"Advocacia-Geral da União. Consultoria-Geral da União",CGU,#advocacia.geral.uniao,CGU – Consultoria-Geral da União,Federal::Advocacia-Geral da União::Consultoria-Geral da União
advocacia.geral.uniao;gerencia.tecnologia.informacao,"Advocacia-Geral da União. Gerência de Tecnologia da Informação",GTI,#advocacia.geral.uniao,,Federal::Advocacia-Geral da União::Gerência de Tecnologia da Informação
advocacia.geral.uniao;centro.estudos.victor.nunes.leal,"Advocacia-Geral da União. Centro de Estudos Victor Nunes Leal",CEAGU,#advocacia.geral.uniao,CEAGU – Centro de Estudos Victor Nunes Leal,Federal::Advocacia-Geral da União::Centro de Estudos Victor Nunes Leal
advocacia.geral.uniao;procuradoria.geral.federal;adjuntoria.contencioso,"Advocacia-Geral da União. Procuradoria-Geral Federal. Adjuntoria de Contencioso",ADCONTPGF,#advocacia.geral.uniao;procuradoria.geral.federal,ADCONTPGF – Adjuntoria de Contencioso,Federal::Advocacia-Geral da União::Procuradoria-Geral Federal::Adjuntoria de Contencioso
advocacia.geral.uniao;procuradoria.geral.federal;coordenacao.geral.cobranca.recuperacao.creditos,"Advocacia-Geral da União. Procuradoria-Geral Federal. Coordenação-Geral de Cobrança e Recuperação de Créditos",CGCOB,#advocacia.geral.uniao;procuradoria.geral.federal,CGCOB – Coordenação-Geral de Cobrança e Recuperação de Créditos,Federal::Advocacia-Geral da União::Procuradoria-Geral Federal::Coordenação-Geral de Cobrança e Recuperação de Créditos
advocacia.geral.uniao;procuradoria.geral.federal;coordenacao.geral.projetos.assuntos.estrategicos,"Advocacia-Geral da União. Procuradoria-Geral Federal. Coordenação-Geral de Projetos e Assuntos Estratégicos",CGPAE,#advocacia.geral.uniao;procuradoria.geral.federal,CGPAE – Coordenação-Geral de Projetos e Assuntos Estratégicos,Federal::Advocacia-Geral da União::Procuradoria-Geral Federal::Coordenação-Geral de Projetos e Assuntos Estratégicos
advocacia.geral.uniao;consultoria.geral.uniao;consultoria.juridica.mte,"Advocacia-Geral da União. Consultoria-Geral da União. Consultoria Jurídica do MTE",CONJUR-MTE,#advocacia.geral.uniao;consultoria.geral.uniao,CONJUR-MTE – Consultoria Jurídica do MTE,Federal::Advocacia-Geral da União::Consultoria-Geral da União::Consultoria Jurídica do MTE
advocacia.geral.uniao;procuradoria.geral.federal;procuradoria.federal.especializada.junto.dnit,"Advocacia-Geral da União. Procuradoria-Geral Federal. Procuradoria Federal Especializada Junto ao DNIT",PFE-DNIT,#advocacia.geral.uniao;procuradoria.geral.federal,PFE-DNIT – Procuradoria Federal Especializada Junto ao DNIT,Federal::Advocacia-Geral da União::Procuradoria-Geral Federal::Procuradoria Federal Especializada Junto ao DNIT
advocacia.geral.uniao;procuradoria.geral.federal;procuradoria.federal.especializada.junto.inss,"Advocacia-Geral da União. Procuradoria-Geral Federal. Procuradoria Federal Especializada Junto ao INSS",PFE-INSS,#advocacia.geral.uniao;procuradoria.geral.federal,PFE-INSS – Procuradoria Federal Especializada Junto ao INSS,Federal::Advocacia-Geral da União::Procuradoria-Geral Federal::Procuradoria Federal Especializada Junto ao INSS
consultoria.geral.republica,"Consultoria-Geral da República",CGR,,CGR – Consultoria-Geral da República,Federal::Consultoria-Geral da República
advocacia.geral.uniao;procuradoria.geral.federal;adjuntoria.consultoria,"Advocacia-Geral da União. Procuradoria-Geral Federal. Adjuntoria de Consultoria",,#advocacia.geral.uniao;procuradoria.geral.federal,,Federal::Advocacia-Geral da União::Procuradoria-Geral Federal::Adjuntoria de Consultoria
tribunal.regional.trabalho,"Tribunal Regional do Trabalho",,,,Federal::Judiciário::Tribunal Regional do Trabalho
tribunal.regional.trabalho;plenario,"Tribunal Regional do Trabalho. Plenário",,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::Plenário
tribunal.regional.trabalho;turma.1,"Tribunal Regional do Trabalho. 1ª Turma",,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::1ª Turma
tribunal.regional.trabalho;turma.2,"Tribunal Regional do Trabalho. 2ª Turma",,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::2ª Turma
tribunal.regional.trabalho;turma.3,"Tribunal Regional do Trabalho. 3ª Turma",,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::3ª Turma
rede.virtual.bibliotecas,"Rede Virtual de Bibliotecas",RVBI,,RVBI – Rede Virtual de Bibliotecas,Federal::Rede Virtual de Bibliotecas
tribunal.regional.trabalho;tribunal.pleno,"Tribunal Regional do Trabalho. Tribunal Pleno",,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::Tribunal Pleno
tribunal.regional.trabalho;orgao.especial,"Tribunal Regional do Trabalho. Órgão Especial",,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::Órgão Especial
tribunal.regional.trabalho;secao.dissidios.coletivos,"Tribunal Regional do Trabalho. Seção de Dissídios Coletivos",,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::Seção de Dissídios Coletivos
tribunal.regional.trabalho;secao.dissidios.individuais.1,"Tribunal Regional do Trabalho. 1ª Seção de Dissídios Individuais",,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::1ª Seção de Dissídios Individuais
tribunal.regional.trabalho;secao.dissidios.individuais.2,"Tribunal Regional do Trabalho. 2ª Seção de Dissídios Individuais",,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::2ª Seção de Dissídios Individuais
tribunal.regional.trabalho;secao.dissidios.individuais.3,"Tribunal Regional do Trabalho. 3ª Seção de Dissídios Individuais",,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::3ª Seção de Dissídios Individuais
tribunal.regional.trabalho;turma.1,"Tribunal Regional do Trabalho. 1ª Turma",,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::1ª Turma
tribunal.regional.trabalho;turma.2,"Tribunal Regional do Trabalho. 2ª Turma",,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::2ª Turma
tribunal.regional.trabalho;turma.3,"Tribunal Regional do Trabalho. 3ª Turma",,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::3ª Turma
tribunal.regional.trabalho;turma.4,"Tribunal Regional do Trabalho. 4ª Turma",,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::4ª Turma
tribunal.regional.trabalho;turma.5,"Tribunal Regional do Trabalho. 5ª Turma",,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::5ª Turma
tribunal.regional.trabalho;turma.6,"Tribunal Regional do Trabalho. 6ª Turma",,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::6ª Turma
tribunal.regional.trabalho;camara.1,"Tribunal Regional do Trabalho. 1ª Câmara",,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::1ª Câmara
tribunal.regional.trabalho;camara.2,"Tribunal Regional do Trabalho. 2ª Câmara",,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::2ª Câmara
tribunal.regional.trabalho;camara.3,"Tribunal Regional do Trabalho. 3ª Câmara",,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::3ª Câmara
tribunal.regional.trabalho;camara.4,"Tribunal Regional do Trabalho. 4ª Câmara",,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::4ª Câmara
tribunal.regional.trabalho;camara.5,"Tribunal Regional do Trabalho. 5ª Câmara",,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::5ª Câmara
tribunal.regional.trabalho;camara.6,"Tribunal Regional do Trabalho. 6ª Câmara",,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::6ª Câmara
tribunal.regional.trabalho;camara.7,"Tribunal Regional do Trabalho. 7ª Câmara",,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::7ª Câmara
tribunal.regional.trabalho;camara.8,"Tribunal Regional do Trabalho. 8ª Câmara",,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::8ª Câmara
tribunal.regional.trabalho;camara.9,"Tribunal Regional do Trabalho. 9ª Câmara",,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::9ª Câmara
tribunal.regional.trabalho;camara.10,"Tribunal Regional do Trabalho. 10ª Câmara",,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::10ª Câmara
tribunal.regional.trabalho;camara.11,"Tribunal Regional do Trabalho. 11ª Câmara",,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::11ª Câmara
tribunal.regional.trabalho;camara.12,"Tribunal Regional do Trabalho. 12ª Câmara",,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::12ª Câmara
ministerio.publico,"Ministério Público",,,,Estadual::Ministério Público
conselho.administrativo.recursos.fiscais,"Conselho Administrativo de Recursos Fiscais",CARF,,CARF – Conselho Administrativo de Recursos Fiscais,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais
conselho.administrativo.recursos.fiscais;secao.julgamento.1,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento",1SJ,#conselho.administrativo.recursos.fiscais,1SJ – 1ª Seção de Julgamento,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.1,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 1ª Câmara",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::1ª Câmara
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.1;turma.ordinaria.1,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 1ª Câmara. 1ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::1ª Câmara::1ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.1;turma.ordinaria.2,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 1ª Câmara. 2ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::1ª Câmara::2ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.1;turma.ordinaria.3,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 1ª Câmara. 3ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::1ª Câmara::3ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.2,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 2ª Câmara",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::2ª Câmara
