about,prefLabel,altLabel,broader,facetaAcronimo,faceta
agencia.nacional.telecomunicacoes;superintendencia.planejamento.regulamentacao,"Superintendência de Planejamento e Regulamentação",SPR,#agencia.nacional.telecomunicacoes,SPR – Superintendência de Planejamento e Regulamentação,Superintendência de Planejamento e Regulamentação
agencia.nacional.telecomunicacoes;superintendencia.outorga.recursos.prestacao,"Superintendência de Outorga e Recursos à Prestação",SOR,#agencia.nacional.telecomunicacoes,SOR – Superintendência de Outorga e Recursos à Prestação,Superintendência de Outorga e Recursos à Prestação
agencia.nacional.telecomunicacoes;superintendencia.fiscalizacao,"Superintendência de Fiscalização",SFI,#agencia.nacional.telecomunicacoes,SFI – Superintendência de Fiscalização,Superintendência de Fiscalização
agencia.nacional.telecomunicacoes;superintendencia.controle.obrigacoes,"Superintendência de Controle de Obrigações",SCO,#agencia.nacional.telecomunicacoes,SCO – Superintendência de Controle de Obrigações,Superintendência de Controle de Obrigações
agencia.nacional.telecomunicacoes;superintendencia.competicao,"Superintendência de Competição",SCP,#agencia.nacional.telecomunicacoes,SCP – Superintendência de Competição,Superintendência de Competição
agencia.nacional.telecomunicacoes;superientendencia.relacoes.consumidores,"Superintendência de Relações com Consumidores",SRC,#agencia.nacional.telecomunicacoes,SRC – Superintendência de Relações com Consumidores,Superintendência de Relações com Consumidores
agencia.nacional.telecomunicacoes;superintendencia.gestao.interna.informacao,"Superintendência de Gestão Interna da Informação",SGI,#agencia.nacional.telecomunicacoes,SGI – Superintendência de Gestão Interna da Informação,Superintendência de Gestão Interna da Informação
agencia.nacional.telecomunicacoes;superintendencia.administracao.financas,"Superintendência de Administração e Finanças",SAF,#agencia.nacional.telecomunicacoes,SAF – Superintendência de Administração e Finanças,Superintendência de Administração e Finanças
agencia.nacional.telecomunicacoes;superintendencia.administracao.financas;gerencia.aquisicoes.contratos,"Gerência de Aquisições e Contratos",AFCA,#agencia.nacional.telecomunicacoes;superintendencia.administracao.financas,AFCA – Gerência de Aquisições e Contratos,Gerência de Aquisições e Contratos
ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal;coordenacao.geral.aplicacao.normas,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Gestão Pública. Departamento de Normas e Procedimentos Judiciais de Pessoal. Coordenação-Geral de Aplicação das Normas",,#ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal,,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Gestão Pública::Departamento de Normas e Procedimentos Judiciais de Pessoal::Coordenação-Geral de Aplicação das Normas"
presidencia.republica;secretaria.direitos.humanos,"Presidência da República. Secretaria de Direitos Humanos",,#presidencia.republica,,Federal::Executivo::Presidência da República::Secretaria de Direitos Humanos
"ministerio.meio.ambiente,ministerio.planejamento.orcamento.gestao","Ministério do Meio Ambiente; Ministério do Planejamento, Orçamento e Gestão",,,,
"ministerio.planejamento.orcamento.gestao,presidencia.republica;secretaria.direitos.humanos","Ministério do Planejamento, Orçamento e Gestão; Presidência da República. Secretaria de Direitos Humanos",,,,
"ministerio.cultura,ministerio.planejamento.orcamento.gestao","Ministério da Cultura; Ministério do Planejamento, Orçamento e Gestão",,,,
"ministerio.desenvolvimento.agrario,ministerio.planejamento.orcamento.gestao","Ministério do Desenvolvimento Agrário; Ministério do Planejamento, Orçamento e Gestão",,,,
"ministerio.desenvolvimento.social.combate.fome,ministerio.planejamento.orcamento.gestao","Ministério do Desenvolvimento Social e Combate à Forme; Ministério do Planejamento, Orçamento e Gestão",,,,
"ministerio.defesa,ministerio.fazenda,ministerio.planejamento.orcamento.gestao","Ministério da Defesa; Ministério da Fazenda; Ministério do Planejamento, Orçamento e Gestão",,,,
"ministerio.minas.energia,ministerio.planejamento.orcamento.gestao","Ministério de Minas e Energia; Ministério do Planejamento, Orçamento e Gestão",,,,
"advocacia-geral.uniao,ministerio.justica","Advocacia-Geral da União; Ministério da Justiça",,,,
ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal;coordenacao.geral.extintos.territorios,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Gestão Pública. Departamento de Normas e Procedimentos Judiciais de Pessoal. Coordenação-Geral de Extintos Territórios",,#ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal,,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Gestão Pública::Departamento de Normas e Procedimentos Judiciais de Pessoal::Coordenação-Geral de Extintos Territórios"
ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal;coordenacao.geral.elaboracao.consolidacao.sistematizacao.normas,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Gestão Pública. Departamento de Normas e Procedimentos Judiciais de Pessoal. Coordenação-Geral de Elaboração, Consolidação e Sistematização das Normas",,#ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal,,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Gestão Pública::Departamento de Normas e Procedimentos Judiciais de Pessoal::Coordenação-Geral de Elaboração, Consolidação e Sistematização das Normas"
ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal;coordenacao.geral.procedimentos.judiciais.pessoal,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Gestão Pública. Departamento de Normas e Procedimentos Judiciais de Pessoal. Coordenação-Geral de Procedimentos Judiciais de Pessoal",,#ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal,,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Gestão Pública::Departamento de Normas e Procedimentos Judiciais de Pessoal::Coordenação-Geral de Procedimentos Judiciais de Pessoal"
tribunal.regional.trabalho;vice.corregedoria.regional,"Tribunal Regional do Trabalho. Vice-Corregedoria Regional",,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::Vice-Corregedoria Regional
tribunal.regional.trabalho;vice.presidencia.1,"Tribunal Regional do Trabalho. 1ª Vice-Presidência",,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::1ª Vice-Presidência
"tribunal.regional.trabalho;corregedoria,tribunal.regional.trabalho;presidencia","Tribunal Regional do Trabalho. Corregedoria; Tribunal Regional do Trabalho. Presidência",,,,
