id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta
45,br;minas.gerais;divinopolis:camara.municipal:projeto.lei;plem,PLEM,pt-BR,"Projeto de Lei Ordinária do Executivo Municipal",#projeto.lei,PLEM – Projeto de Lei Ordinária do Executivo Municipal,Proposições Legislativas::Projeto&#160;de&#160;Lei
46,br;minas.gerais;divinopolis:camara.municipal:projeto.lei;plcm,PLCM,pt-BR,"Projeto de Lei Ordinária do Legislativo Municipal",#projeto.lei,PLCM – Projeto de Lei Ordinária do Legislativo Municipal,Proposições Legislativas::Projeto&#160;de&#160;Lei
47,br;minas.gerais;divinopolis:camara.municipal:proposta.emenda.lei.organica;peloe,PELOE,pt-BR,"Proposta de Emenda à Lei Orgânica do Executivo",#proposta.emenda.lei.organica,PELOE – Proposta de Emenda à Lei Orgânica do Executivo,Proposições Legislativas::Proposta&#160;de&#160;Emenda&#160;à&#160;Lei&#160;Orgânica
48,br;minas.gerais;divinopolis:camara.municipal:proposta.emenda.lei.organica;peloc,PELOC,pt-BR,"Proposta de Emenda à Lei Orgânica do Legislativo",#proposta.emenda.lei.organica,PELOC – Proposta de Emenda à Lei Orgânica do Legislativo,Proposições Legislativas::Proposta&#160;de&#160;Emenda&#160;à&#160;Lei&#160;Orgânica
49,br;minas.gerais;divinopolis:camara.municipal:proposta.emenda.lei.organica;pres,PRES,pt-BR,"Projeto de Resolução",#proposta.emenda.lei.organica,PRES – Projeto de Resolução,Proposições Legislativas::Proposta&#160;de&#160;Emenda&#160;à&#160;Lei&#160;Orgânica
50,publicacao.oficial;diario.oficial.uniao;secao.1,"Diário Oficial da União. Seção 1",pt-BR,,#publicacao.oficial;diario.oficial.uniao,,Publicação Oficial::Diário Oficial da União::Seção 1
51,publicacao.oficial;diario.oficial.uniao;secao.2,"Diário Oficial da União. Seção 2",pt-BR,,#publicacao.oficial;diario.oficial.uniao,,Publicação Oficial::Diário Oficial da União::Seção 2
52,publicacao.oficial;diario.oficial.uniao;secao.3,"Diário Oficial da União. Seção 3",pt-BR,,#publicacao.oficial;diario.oficial.uniao,,Publicação Oficial::Diário Oficial da União::Seção 3
53,publicacao.oficial;diario.justica,"Diário da Justiça",pt-BR,DJ,#publicacao.oficial,DJ – Diário da Justiça,Publicação Oficial::Diário da Justiça
54,publicacao.oficial;diario.justica;secao.unica,"Diário da Justiça. Seção Única",pt-BR,,#publicacao.oficial;diario.justica,,Publicação Oficial::Diário da Justiça::Seção Única
55,publicacao.oficial;diario.justica;secao.1,"Diário da Justiça. Seção 1",pt-BR,,#publicacao.oficial;diario.justica,,Publicação Oficial::Diário da Justiça::Seção 1
56,publicacao.oficial;diario.justica;secao.2,"Diário da Justiça. Seção 2",pt-BR,,#publicacao.oficial;diario.justica,,Publicação Oficial::Diário da Justiça::Seção 2
57,publicacao.oficial;diario.justica;secao.3,"Diário da Justiça. Seção 3",pt-BR,,#publicacao.oficial;diario.justica,,Publicação Oficial::Diário da Justiça::Seção 3
58,publicacao.oficial;diario.oficial.uniao;secao.1;edicao.extra,"Diário Oficial da União. Seção 1. Edição Extra",pt-BR,,#publicacao.oficial;diario.oficial.uniao;secao.1,,Publicação Oficial::Diário Oficial da União::Seção 1::Edição Extra
59,publicacao.oficial;diario.oficial.uniao;secao.2;edicao.extra,"Diário Oficial da União. Seção 2. Edição Extra",pt-BR,,#publicacao.oficial;diario.oficial.uniao;secao.2,,Publicação Oficial::Diário Oficial da União::Seção 2::Edição Extra
60,publicacao.oficial;diario.oficial.uniao;secao.3;edicao.extra,"Diário Oficial da União. Seção 3. Edição Extra",pt-BR,,#publicacao.oficial;diario.oficial.uniao;secao.3,,Publicação Oficial::Diário Oficial da União::Seção 3::Edição Extra
61,publicacao.oficial;diario.justica;secao.unica;edicao.extra,"Diário da Justiça. Seção Única. Edição Extra",pt-BR,,#publicacao.oficial;diario.justica;secao.unica,,Publicação Oficial::Diário da Justiça::Seção Única::Edição Extra
62,publicacao.oficial;diario.justica;secao.1;edicao.extra,"Diário da Justiça. Seção 1. Edição Extra",pt-BR,,#publicacao.oficial;diario.justica;secao.1,,Publicação Oficial::Diário da Justiça::Seção 1::Edição Extra
63,publicacao.oficial;diario.justica;secao.2;edicao.extra,"Diário da Justiça. Seção 2. Edição Extra",pt-BR,,#publicacao.oficial;diario.justica;secao.2,,Publicação Oficial::Diário da Justiça::Seção 2::Edição Extra
64,publicacao.oficial;diario.justica;secao.3;edicao.extra,"Diário da Justiça. Seção 3. Edição Extra",pt-BR,,#publicacao.oficial;diario.justica;secao.3,,Publicação Oficial::Diário da Justiça::Seção 3::Edição Extra
65,publicacao.oficial;diario.oficial.uniao;secao.1;suplemento,"Diário Oficial da União. Seção 1. Suplemento",pt-BR,,#publicacao.oficial;diario.oficial.uniao;secao.1,,Publicação Oficial::Diário Oficial da União::Seção 1::Suplemento
66,br:congresso.nacional:projeto.decreto.legislativo;pdn,PDN,pt-BR,"Projeto de Decreto Legislativo do CN",#projeto.decreto.legislativo,PDN – Projeto de Decreto Legislativo do CN,Proposições Legislativas::Projeto&#160;de&#160;Decreto&#160;Legislativo
67,br:congresso.nacional:projeto.resolucao;prn,PRN,pt-BR,"Projeto de Resolução do CN",#projeto.resolucao,PRN – Projeto de Resolução do CN,Proposições Legislativas::Projeto&#160;de&#160;Resolução
68,br:congresso.nacional:projeto.lei;pln,PLN,pt-BR,"Projeto de Lei do CN",#projeto.lei,PLN – Projeto de Lei do CN,Proposições Legislativas::Projeto&#160;de&#160;Lei
69,publicacao.oficial;diario.justica.eletronico,"Diário da Justiça Eletrônico",pt-BR,DJe,#publicacao.oficial,,Publicação Oficial::Diário da Justiça Eletrônico
